pitch,twist_factor,chord_factor,CT,CP
-1.0,0.5,0.5,0.23476,0.21549
-1.0,0.5,0.6,0.27963,0.25206
-1.0,0.5,0.7,0.32353,0.28626
-1.0,0.5,0.8,0.36684,0.31829
-1.0,0.5,0.9,0.40913,0.34792
-1.0,0.5,1.0,0.45034,0.37499
-1.0,0.5,1.1,0.49008,0.39961
-1.0,0.5,1.2,0.52823,0.42161
-1.0,0.5,1.3,0.56484,0.44103
-1.0,0.5,1.4,0.59993,0.45791
-1.0,0.6,0.5,0.23317,0.21418
-1.0,0.6,0.6,0.27754,0.25036
-1.0,0.6,0.7,0.3209,0.28418
-1.0,0.6,0.8,0.36345,0.31578
-1.0,0.6,0.9,0.4049,0.34479
-1.0,0.6,1.0,0.44471,0.37133
-1.0,0.6,1.1,0.48315,0.39543
-1.0,0.6,1.2,0.52012,0.41708
-1.0,0.6,1.3,0.55567,0.43631
-1.0,0.6,1.4,0.58963,0.45312
-1.0,0.7,0.5,0.2311,0.21243
-1.0,0.7,0.6,0.27465,0.24803
-1.0,0.7,0.7,0.31726,0.28136
-1.0,0.7,0.8,0.35867,0.31223
-1.0,0.7,0.9,0.39899,0.34069
-1.0,0.7,1.0,0.43767,0.36673
-1.0,0.7,1.1,0.47492,0.39038
-1.0,0.7,1.2,0.51081,0.41172
-1.0,0.7,1.3,0.54521,0.43074
-1.0,0.7,1.4,0.57849,0.44756
-1.0,0.8,0.5,0.22829,0.21005
-1.0,0.8,0.6,0.27095,0.24502
-1.0,0.8,0.7,0.31247,0.27763
-1.0,0.8,0.8,0.35302,0.30789
-1.0,0.8,0.9,0.3919,0.33572
-1.0,0.8,1.0,0.42939,0.36123
-1.0,0.8,1.1,0.46554,0.38447
-1.0,0.8,1.2,0.50031,0.40551
-1.0,0.8,1.3,0.53405,0.42444
-1.0,0.8,1.4,0.56589,0.44117
-1.0,0.9,0.5,0.22462,0.20694
-1.0,0.9,0.6,0.26626,0.2412
-1.0,0.9,0.7,0.30674,0.27312
-1.0,0.9,0.8,0.34603,0.30268
-1.0,0.9,0.9,0.38371,0.32989
-1.0,0.9,1.0,0.42007,0.3549
-1.0,0.9,1.1,0.45515,0.37777
-1.0,0.9,1.2,0.48912,0.39857
-1.0,0.9,1.3,0.52136,0.41721
-1.0,0.9,1.4,0.55219,0.43388
-1.0,1.0,0.5,0.22024,0.20322
-1.0,1.0,0.6,0.26078,0.23669
-1.0,1.0,0.7,0.30006,0.26782
-1.0,1.0,0.8,0.33806,0.29667
-1.0,1.0,0.9,0.37458,0.32328
-1.0,1.0,1.0,0.40987,0.34783
-1.0,1.0,1.1,0.44382,0.37027
-1.0,1.0,1.2,0.47656,0.3907
-1.0,1.0,1.3,0.50772,0.40916
-1.0,1.0,1.4,0.53779,0.42581
-1.0,1.1,0.5,0.21515,0.19885
-1.0,1.1,0.6,0.25449,0.23147
