  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3052   0.00848   0.00291  -0.0565   0.9221   0.0718
  -4.500  -0.2513   0.00807   0.00255  -0.0559   0.9043   0.0908
  -4.000  -0.1970   0.00770   0.00224  -0.0554   0.8846   0.1161
  -3.500  -0.1424   0.00739   0.00196  -0.0550   0.8627   0.1487
  -3.000  -0.0877   0.00708   0.00174  -0.0546   0.8387   0.1899
  -2.000   0.0219   0.00660   0.00141  -0.0539   0.7828   0.2959
  -1.500   0.0765   0.00637   0.00130  -0.0536   0.7518   0.3639
  -1.000   0.1304   0.00609   0.00122  -0.0532   0.7192   0.4630
  -0.500   0.1839   0.00582   0.00120  -0.0527   0.6855   0.5773
   0.000   0.2372   0.00565   0.00122  -0.0520   0.6516   0.6797
   0.500   0.2900   0.00554   0.00128  -0.0511   0.6180   0.7733
   1.000   0.3416   0.00549   0.00139  -0.0498   0.5858   0.8600
   1.500   0.3926   0.00557   0.00153  -0.0482   0.5553   0.9268
   2.000   0.4500   0.00578   0.00167  -0.0482   0.5254   0.9673
   2.500   0.5182   0.00605   0.00181  -0.0507   0.4954   0.9856
   3.000   0.5921   0.00635   0.00197  -0.0547   0.4637   0.9945
   3.500   0.6669   0.00665   0.00214  -0.0590   0.4302   1.0000
   4.000   0.7148   0.00693   0.00230  -0.0574   0.3981   1.0000
   4.500   0.7625   0.00729   0.00251  -0.0557   0.3594   1.0000
   5.000   0.8095   0.00775   0.00278  -0.0540   0.3154   1.0000
   5.500   0.8559   0.00833   0.00314  -0.0522   0.2654   1.0000
   6.000   0.9020   0.00905   0.00360  -0.0505   0.2123   1.0000
   6.500   0.9483   0.00984   0.00414  -0.0489   0.1613   1.0000
   7.000   0.9946   0.01068   0.00475  -0.0474   0.1186   1.0000
   7.500   1.0409   0.01153   0.00541  -0.0459   0.0869   1.0000
   8.000   1.0874   0.01234   0.00611  -0.0445   0.0659   1.0000
   8.500   1.1341   0.01310   0.00682  -0.0431   0.0528   1.0000
   9.000   1.1796   0.01393   0.00761  -0.0416   0.0436   1.0000
   9.500   1.2241   0.01477   0.00845  -0.0399   0.0372   1.0000
  10.000   1.2672   0.01566   0.00936  -0.0381   0.0324   1.0000
  10.500   1.3070   0.01671   0.01044  -0.0358   0.0288   1.0000
  11.000   1.3464   0.01767   0.01144  -0.0335   0.0262   1.0000
  11.500   1.3777   0.01885   0.01270  -0.0299   0.0239   1.0000
  12.000   1.4085   0.02001   0.01393  -0.0264   0.0222   1.0000
  12.500   1.4296   0.02183   0.01585  -0.0221   0.0205   1.0000
  13.000   1.4568   0.02336   0.01750  -0.0190   0.0195   1.0000
  13.500   1.4800   0.02527   0.01951  -0.0160   0.0184   1.0000
  14.000   1.4899   0.02837   0.02273  -0.0125   0.0173   1.0000
  14.500   1.5063   0.03124   0.02576  -0.0102   0.0167   1.0000
  15.000   1.5196   0.03465   0.02934  -0.0085   0.0160   1.0000
  15.500   1.5282   0.03883   0.03368  -0.0075   0.0154   1.0000
  16.000   1.5298   0.04408   0.03909  -0.0071   0.0149   1.0000
  16.500   1.5174   0.05139   0.04658  -0.0078   0.0144   1.0000
  17.000   1.4969   0.06032   0.05574  -0.0096   0.0140   1.0000
  17.500   1.4870   0.06830   0.06394  -0.0118   0.0138   1.0000
  18.000   1.4707   0.07752   0.07338  -0.0147   0.0136   1.0000
  18.500   1.4504   0.08764   0.08371  -0.0183   0.0133   1.0000
  19.000   1.4263   0.09867   0.09497  -0.0226   0.0131   1.0000
  19.500   1.4011   0.11024   0.10674  -0.0275   0.0129   1.0000
  20.000   1.3749   0.12228   0.11898  -0.0331   0.0127   1.0000
